Material Dump with Offsets
0x82D2E3F8   $default
0x82D2E478   gfx_fxt_misc_missing_fx
0x82D2E4F8   compass_map_mp_berlinwall2
0x82D2E578   compass_map_mp_berlinwall2_wager
0x82D2E5F8   compass_overlay_map_berlinwall2
0x82D2E678   compass_map_mp_discovery2
0x82D2E6F8   compass_map_mp_discovery2_wager
0x82D2E778   compass_overlay_map_discovery2
0x82D2E7F8   compass_map_mp_stadium
0x82D2E878   compass_map_mp_stadium_wager
0x82D2E8F8   compass_overlay_map_stadium
0x82D2E978   compass_map_mp_kowloon
0x82D2E9F8   compass_map_mp_kowloon_wager
0x82D2EA78   compass_overlay_map_kowloon
0x82D2EAF8   compass_map_mp_convoy
0x82D2EB78   compass_map_mp_convoy_wager
0x82D2EBF8   compass_overlay_map_convoy
0x82D2EC78   compass_map_mp_hotel2
0x82D2ECF8   compass_map_mp_hotel2_wager
0x82D2ED78   compass_overlay_map_hotel2
0x82D2EDF8   compass_map_mp_stockpile
0x82D2EE78   compass_map_mp_stockpile_wager
0x82D2EEF8   compass_overlay_map_stockpile
0x82D2EF78   compass_map_mp_zoo
0x82D2EFF8   compass_map_mp_zoo_wager
0x82D2F078   compass_overlay_map_zoo
0x82D2F0F8   compass_map_mp_area51
0x82D2F178   compass_map_mp_area51_wager
0x82D2F1F8   compass_overlay_map_area51
0x82D2F278   compass_map_mp_drivein
0x82D2F2F8   compass_map_mp_drivein_wager
0x82D2F378   compass_overlay_map_drivein
0x82D2F3F8   compass_map_mp_golfcourse
0x82D2F478   compass_map_mp_golfcourse_wager
0x82D2F4F8   compass_overlay_map_golfcourse
0x82D2F578   compass_map_mp_silo
0x82D2F5F8   compass_map_mp_silo_wager
0x82D2F678   compass_overlay_map_silo
0x82D2F6F8   compassping_squad_mp
0x82D2F778   compassping_squad_fire_mp
0x82D2F7F8   compassping_squadyelling_mp
0x82D2F878   dollycam2d
0x82D2F8F8   gfx_dollycam_tracer
0x82D2F978   voice_off_mute_xboxlive
0x82D2F9F8   voice_off_xboxlive
0x82D2FA78   voice_on_xboxlive
0x82D2FAF8   loadscreen_mp_discovery
0x82D2FB78   gfx_fxt_fx_distortion_water
0x82D2FBF8   gfx_fxt_spark_anim_blink
0x82D2FC78   gfx_fxt_fire_anim_lick_add_eo
0x82D2FCF8   gfx_fxt_smk_gen_z3
0x82D2FD78   gfx_flamethrower_smoke_z3
0x82D2FDF8   gfx_fxt_fire_anim_lick_add_z3
0x82D2FE78   mc/gfx_fxt_decal_scorch_mark
0x82D2FEF8   wc/gfx_fxt_decal_scorch_mark
0x82D2FF78   gfx_fxt_fire_anim_fuel_z40
0x82D2FFF8   gfx_fxt_spark_pcloud_01_oo
0x82D30078   gfx_fxt_spark_pcloud_02_oo
0x82D300F8   gfx_fxt_fire_anim_flicker_1
0x82D30178   gfx_fxt_fire_anim_flicker_1_add
0x82D301F8   gfx_fxt_fire_anim_lick
0x82D30278   gfx_fxt_smk_puff_z40_oo
0x82D302F8   gfx_fxt_smk_tendril
0x82D30378   gfx_fxt_fire_anim_fuel_add_z40
0x82D303F8   gfx_fxt_smk_light
0x82D30478   gfx_flamethrower_smoke_z40_oo
0x82D304F8   gfx_fxt_light_flare_phosphorous_z120_oo
0x82D30578   gfx_fxt_smk_def_2_z20_oo
0x82D305F8   gfx_fxt_smk_scattered_z40_oo
0x82D30678   gfx_fxt_smk_def_1_z20
0x82D306F8   mc/mtl_t5_weapon_camera_spike
0x82D30778   gfx_fxt_ui_tickring
0x82D307F8   gfx_fxt_light_ray_spread_no_gr
0x82D30878   gfx_fxt_light_ray_search
0x82D308F8   gfx_fxt_light_hot_add_z0
0x82D30978   mc/global_invisible
0x82D309F8   mc/clip_missile
0x82D30A78   menu_mp_lobby_frame_circle
0x82D30AF8   white
0x82D30B78   gradient_top
0x82D30BF8   gradient_bottom
0x82D30C78   menu_mp_background_glow
0x82D30CF8   menu_mp_lobby_frame_outer_ingame
0x82D30D78   menu_mp_lobby_frame_inner_ingame
0x82D30DF8   menu_mp_lobby_frame_outer
0x82D30E78   menu_mp_lobby_frame_inner
0x82D30EF8   menu_mp_tab_frame_inner
0x82D30F78   compass_map_default
0x82D30FF8   map_grid_square
0x82D31078   objective_line
0x82D310F8   compassping_player
0x82D31178   compass_map_flicker
0x82D311F8   tow_filter_overlay_no_signal
0x82D31278   menu_black_box_faded
0x82D312F8   compass_static
0x82D31378   compassping_friendly
0x82D313F8   compassping_enemy
0x82D31478   hud_us_grenade
0x82D314F8   hud_us_smokegrenade
0x82D31578   menu_mp_lobby_new
0x82D315F8   menu_mp_lobby_locked
0x82D31678   mc/gfx_missing_fx
0x82D316F8   reticle_side_small
0x82D31778   hud_icon_dragunov
0x82D317F8   scope_overlay_dragunov
0x82D31878   scope_overlay_m40a3_low_res
0x82D318F8   scope_overlay_nsp3a_ir
0x82D31978   hud_l96
0x82D319F8   scope_overlay_l96a1
0x82D31A78   scope_overlay_anpvs_ir
0x82D31AF8   hud_psg1
0x82D31B78   scope_overlay_psg1
0x82D31BF8   hud_icon_waw2000
0x82D31C78   scope_overlay_m40a3
0x82D31CF8   hud_icon_ak74u
0x82D31D78   hud_icon_40mm_grenade_mp
0x82D31DF8   hud_icon_famas
0x82D31E78   hud_icon_flamethrower_dpad
0x82D31EF8   hud_flamethrower_reticle
0x82D31F78   hud_icon_m2_flamethrower
0x82D31FF8   hud_obit_flame_attach
0x82D32078   gfx_flamethrower_fire
0x82D320F8   gfx_flamethrower_smoke
0x82D32178   gfx_flamethrower_stream_fuel2
0x82D321F8   gfx_flamethrower_stream_fuel
0x82D32278   hud_icon_mk_generic
0x82D322F8   hud_icon_aug
0x82D32378   hud_obit_masterkey_attach
0x82D323F8   reticle_m203
0x82D32478   hud_icon_ak47
0x82D324F8   hud_obit_grenade_launcher_attach
0x82D32578   reticle_center_cross_mg42
0x82D325F8   hud_ks_auto_turret
0x82D32678   mc/mtl_t5_weapon_hs10
0x82D326F8   mc/mtl_t5_weapon_hs10_plastic
0x82D32778   mc/mtl_clan_tag
0x82D327F8   mc/mtl_player_icon
0x82D32878   emblem_bg_default
0x82D328F8   emblem_bg_bamboo01
0x82D32978   emblem_bg_bamboo02
0x82D329F8   emblem_bg_bats
0x82D32A78   emblem_bg_blood01
0x82D32AF8   emblem_bg_blood02
0x82D32B78   emblem_bg_boards
0x82D32BF8   emblem_bg_bowling
0x82D32C78   emblem_bg_brushed_metal
0x82D32CF8   emblem_bg_bullets01
0x82D32D78   emblem_bg_bullets02
0x82D32DF8   emblem_bg_camo01
0x82D32E78   emblem_bg_carbon
0x82D32EF8   emblem_bg_cccp
